# Threatbase Threat Intelligence Feed - Brute-Force IPs
# Last update: Sat, 27 Jun 2026 10:16:42 +0000
# Count: 24461
# Format: IP,FeedCount,RiskScore,Tags
1.0.164.165,7,HIGH,Brute-Force|Malicious
1.1.220.166,5,HIGH,Brute-Force|Malicious
1.4.221.22,4,HIGH,Brute-Force
1.9.211.178,4,HIGH,Brute-Force|Malicious
1.14.28.29,5,HIGH,Brute-Force
1.14.192.95,3,HIGH,Brute-Force
1.15.135.116,5,HIGH,Brute-Force
1.15.227.58,5,HIGH,Brute-Force
1.20.140.252,6,HIGH,Brute-Force|Malicious
1.20.228.110,5,HIGH,Brute-Force|Malicious
1.39.176.125,6,HIGH,Brute-Force|Exploit|Malicious
1.39.176.162,6,HIGH,Brute-Force|Exploit|Malicious
1.39.176.223,6,HIGH,Brute-Force|Exploit|Malicious
1.40.121.23,4,HIGH,Brute-Force|Spam
1.54.237.221,6,HIGH,Brute-Force|Malicious
1.55.200.73,6,HIGH,Botnet|Brute-Force|Malicious
1.85.42.195,6,HIGH,Brute-Force|Malicious|Spam
1.86.233.5,6,HIGH,Brute-Force|Malicious
1.92.214.57,5,HIGH,Botnet|Brute-Force|Malicious
1.161.145.164,4,HIGH,Brute-Force|Malicious
1.162.197.67,6,HIGH,Brute-Force|Malicious
1.162.239.42,5,HIGH,Brute-Force
1.192.18.4,7,HIGH,Brute-Force|Malicious|Spam
1.192.61.19,5,HIGH,Brute-Force
1.212.225.99,9,HIGH,Brute-Force|Malicious|Spam
1.214.42.172,2,HIGH,Brute-Force
1.214.214.114,7,HIGH,Brute-Force|Malicious
1.220.198.126,6,HIGH,Brute-Force|Malicious|Spam
1.222.42.237,7,HIGH,Brute-Force|Malicious
1.227.228.131,6,HIGH,Brute-Force|Malicious|Spam
1.231.81.166,4,HIGH,Brute-Force|Spam
1.234.20.61,6,HIGH,Brute-Force|Malicious|Spam
1.234.27.159,5,HIGH,Brute-Force|Spam
1.234.75.81,5,HIGH,Brute-Force|Spam
1.235.192.214,7,HIGH,Brute-Force|Malicious
1.237.155.150,7,HIGH,Brute-Force|Malicious|Spam
1.238.106.229,9,HIGH,Brute-Force|Malicious
1.247.245.61,7,HIGH,Brute-Force|Malicious|Spam
1.250.67.114,6,HIGH,Brute-Force|Malicious|Spam
1.250.67.190,6,HIGH,Brute-Force|Malicious|Spam
2.15.130.102,2,MEDIUM,Brute-Force|Spam
2.26.23.207,6,HIGH,Brute-Force|Malicious
2.26.29.159,4,HIGH,Brute-Force
2.26.49.39,10,HIGH,Brute-Force|Compromised|Malicious
2.26.112.205,6,HIGH,Brute-Force|Malicious
2.26.252.159,7,HIGH,Brute-Force|Compromised|Malicious
2.27.20.149,7,HIGH,Brute-Force|Malicious
2.27.32.234,9,HIGH,Botnet|Brute-Force|Compromised|Malicious
2.33.204.219,5,HIGH,Brute-Force|Spam
2.37.166.156,6,HIGH,Brute-Force|Malicious|Spam
2.48.94.9,4,HIGH,Brute-Force|Malicious
2.48.94.112,4,HIGH,Brute-Force
2.48.131.22,6,HIGH,Brute-Force|Malicious|Spam
2.50.3.94,3,HIGH,Brute-Force
2.50.165.47,4,HIGH,Brute-Force
2.50.175.79,4,HIGH,Brute-Force
2.54.85.220,6,HIGH,Brute-Force|Malicious|Spam
2.55.69.224,6,HIGH,Brute-Force|Malicious|Spam
2.55.70.26,7,HIGH,Brute-Force|Malicious|Spam
2.55.70.124,6,HIGH,Brute-Force|Malicious|Spam
2.55.73.108,7,HIGH,Brute-Force|Malicious|Spam
2.55.75.176,6,HIGH,Brute-Force|Malicious|Spam
2.55.85.196,5,HIGH,Brute-Force|Malicious|Spam
2.55.88.51,6,HIGH,Brute-Force|Malicious|Spam
2.55.122.202,7,HIGH,Brute-Force|Malicious|Spam
2.55.125.200,7,HIGH,Brute-Force|Malicious|Spam
2.55.126.88,6,HIGH,Brute-Force|Malicious|Spam
2.57.121.25,14,HIGH,Brute-Force|Compromised|Malicious
2.57.121.112,10,HIGH,Brute-Force|Malicious
2.57.122.150,9,HIGH,Brute-Force|Malicious
2.57.122.177,3,HIGH,Brute-Force
2.57.122.202,5,HIGH,Brute-Force|Exploit
2.57.122.238,5,HIGH,Brute-Force|Malicious
2.57.170.104,6,HIGH,Botnet|Brute-Force|Malicious
2.57.170.109,6,HIGH,Botnet|Brute-Force|Malicious
2.57.217.229,9,HIGH,Brute-Force|Malicious
2.58.56.23,5,HIGH,Brute-Force|Exploit|Malicious
2.58.56.61,7,HIGH,Brute-Force|Exploit|Malicious
2.58.56.155,7,HIGH,Brute-Force|Exploit|Malicious
2.58.56.173,3,HIGH,Brute-Force
2.58.56.248,5,HIGH,Brute-Force|Malicious
2.59.162.146,5,HIGH,Brute-Force|Malicious|Spam
2.59.183.60,7,HIGH,Brute-Force|Compromised|Malicious
2.87.21.58,5,HIGH,Brute-Force|Malicious
2.133.4.22,6,HIGH,Brute-Force|Malicious|Spam
2.133.48.79,6,HIGH,Brute-Force|Exploit|Malicious
2.134.15.12,6,HIGH,Brute-Force
2.135.146.53,7,HIGH,Brute-Force|Malicious
2.158.185.19,6,HIGH,Brute-Force|Malicious
2.180.32.104,8,HIGH,Brute-Force|Malicious
2.189.130.80,5,HIGH,Brute-Force|Malicious
2.196.207.166,3,HIGH,Brute-Force
2.197.114.21,6,HIGH,Brute-Force|Malicious|Spam
2.203.100.16,6,HIGH,Brute-Force|Malicious
2.204.188.254,6,HIGH,Brute-Force|Malicious|Spam
2.208.68.141,6,HIGH,Brute-Force|Malicious|Spam
2.208.226.68,6,HIGH,Brute-Force|Malicious|Spam
2.211.43.222,6,HIGH,Brute-Force|Malicious|Spam
2.211.214.8,6,HIGH,Brute-Force|Malicious|Spam
2.214.48.124,4,HIGH,Brute-Force|Spam
2.215.12.40,6,HIGH,Brute-Force|Malicious|Spam
2.215.92.194,6,HIGH,Brute-Force|Malicious|Spam
2.215.217.61,5,HIGH,Brute-Force|Malicious|Spam
2.222.108.163,5,HIGH,Brute-Force|Malicious|Spam
2.243.64.15,5,HIGH,Brute-Force|Malicious|Spam
2.243.156.196,5,HIGH,Brute-Force|Malicious|Spam
3.67.8.249,5,HIGH,Brute-Force
3.87.3.223,5,HIGH,Brute-Force|Exploit
3.89.86.217,3,HIGH,Brute-Force
3.129.187.38,8,HIGH,Brute-Force|Malicious|Spam
3.130.168.2,8,HIGH,Brute-Force|Malicious
3.131.220.121,8,HIGH,Brute-Force|Malicious
3.132.26.232,9,HIGH,Brute-Force|Malicious|Spam
3.132.96.216,5,HIGH,Botnet|Brute-Force
3.144.120.14,6,HIGH,Brute-Force|Malicious
3.144.243.71,2,MEDIUM,Brute-Force|Exploit
3.214.56.2,4,HIGH,Botnet|Brute-Force
4.150.201.26,6,HIGH,Brute-Force|Malicious
4.154.190.17,5,HIGH,Brute-Force|Spam
4.157.250.195,6,HIGH,Brute-Force|Malicious
4.172.218.23,4,HIGH,Brute-Force
4.182.219.135,6,HIGH,Brute-Force|Malicious
4.184.246.230,6,HIGH,Brute-Force|Malicious
4.194.19.2,7,HIGH,Brute-Force|Malicious
4.194.31.84,4,HIGH,Brute-Force|Exploit
4.206.92.183,6,HIGH,Brute-Force|Malicious
4.207.145.86,7,HIGH,Brute-Force|Exploit|Malicious
4.210.68.162,5,HIGH,Botnet|Brute-Force
4.210.91.174,7,HIGH,Brute-Force|Malicious
4.211.84.189,7,HIGH,Brute-Force|Malicious
4.213.36.75,6,HIGH,Botnet|Brute-Force|Malicious
4.213.38.49,4,HIGH,Botnet|Brute-Force
4.213.51.82,6,HIGH,Botnet|Brute-Force
4.213.123.209,4,HIGH,Botnet|Brute-Force
4.221.162.168,6,HIGH,Brute-Force|Malicious
4.222.216.239,4,HIGH,Botnet|Brute-Force
