# Threatbase Threat Intelligence Feed - Compromised IPs
# Last update: Sun, 28 Jun 2026 02:16:40 +0000
# Count: 15607
# Format: IP,FeedCount,RiskScore,Tags
1.6.83.9,6,HIGH,Compromised|Malicious
1.6.83.15,4,HIGH,Compromised|Malicious
1.15.14.29,4,HIGH,Compromised|Malicious
1.24.16.47,5,HIGH,Compromised|Malicious
1.24.16.49,5,HIGH,Compromised|Malicious
1.24.16.71,5,HIGH,Compromised|Malicious
1.24.16.129,6,HIGH,Compromised|Malicious
1.24.16.136,3,HIGH,Compromised
1.24.16.181,4,HIGH,Compromised|Malicious
1.24.16.202,3,HIGH,Compromised
1.28.54.23,3,HIGH,Compromised
1.30.69.76,6,HIGH,Compromised|Malicious
1.31.64.134,5,HIGH,Compromised|Malicious
1.34.42.95,4,HIGH,Compromised|Malicious
1.34.143.217,7,HIGH,Compromised|Malicious
1.34.161.179,5,HIGH,Compromised|Malicious
1.34.204.183,5,HIGH,Compromised|Malicious
1.55.18.177,5,HIGH,Compromised|Malicious
1.56.172.171,4,HIGH,Compromised|Malicious
1.63.153.144,5,HIGH,Compromised|Malicious
1.83.125.183,5,HIGH,Compromised|Malicious
1.83.125.205,5,HIGH,Compromised|Malicious
1.83.125.211,4,HIGH,Compromised|Malicious
1.83.125.214,5,HIGH,Compromised|Malicious
1.85.54.130,7,HIGH,Compromised|Malicious
1.159.67.80,6,HIGH,Compromised|Malicious
1.176.118.246,6,HIGH,Compromised|Malicious
1.183.161.114,5,HIGH,Compromised|Malicious
1.188.23.20,5,HIGH,Compromised|Malicious
1.188.103.192,4,HIGH,Compromised
1.192.179.172,4,HIGH,Compromised|Malicious
1.197.102.62,5,HIGH,Compromised|Malicious
1.199.40.141,6,HIGH,Compromised|Malicious
1.225.62.211,4,HIGH,Compromised|Malicious
2.26.0.22,6,HIGH,Compromised|Malicious
2.26.49.39,10,HIGH,Botnet|Brute-Force|Compromised|Malicious
2.26.161.25,1,HIGH,Compromised
2.26.252.159,7,HIGH,Brute-Force|Compromised|Malicious
2.27.32.234,9,HIGH,Botnet|Brute-Force|Compromised|Malicious
2.27.62.69,5,HIGH,Compromised|Malicious
2.50.239.81,6,HIGH,Compromised|Malicious
2.56.30.151,6,HIGH,Compromised|Malicious
2.57.121.25,14,HIGH,Brute-Force|Compromised|Malicious
2.59.183.60,7,HIGH,Brute-Force|Compromised|Malicious
2.88.155.49,4,HIGH,Compromised
2.103.204.73,4,HIGH,Compromised|Malicious
2.186.118.17,4,HIGH,Compromised|Malicious
2.187.248.234,7,HIGH,Compromised|Malicious
2.233.116.246,6,HIGH,Compromised|Malicious
3.83.245.221,6,HIGH,Compromised|Malicious
3.87.27.156,6,HIGH,Compromised|Malicious
3.131.24.55,6,HIGH,Compromised|Malicious
3.142.170.60,6,HIGH,Compromised|Malicious
4.150.190.180,6,HIGH,Compromised|Malicious
4.150.191.6,6,HIGH,Compromised|Malicious
4.193.139.29,5,HIGH,Compromised|Malicious
4.227.178.194,5,HIGH,Compromised|Malicious
4.227.178.199,5,HIGH,Compromised|Malicious
4.227.178.208,6,HIGH,Compromised|Malicious
4.227.179.79,5,HIGH,Compromised|Malicious
4.227.180.232,5,HIGH,Compromised|Malicious
4.236.161.123,4,HIGH,Compromised|Malicious
4.246.231.57,5,HIGH,Compromised|Malicious
5.1.5.135,4,HIGH,Compromised|Malicious
5.23.100.13,6,HIGH,Compromised|Malicious
5.36.176.63,1,HIGH,Compromised
