# Threatbase Threat Intelligence Feed - Spam IPs
# Last update: Fri, 26 Jun 2026 02:16:47 +0000
# Count: 14000
# Format: IP,FeedCount,RiskScore,Tags
1.46.23.81,6,HIGH,Brute-Force|Malicious|Spam
1.85.42.195,6,HIGH,Brute-Force|Malicious|Spam
1.136.105.35,6,HIGH,Brute-Force|Malicious|Spam
1.192.18.4,8,HIGH,Brute-Force|Malicious|Spam
1.193.163.2,6,HIGH,Brute-Force|Malicious|Spam
1.212.225.99,8,HIGH,Brute-Force|Malicious|Spam
1.220.198.126,6,HIGH,Brute-Force|Malicious|Spam
1.227.103.214,6,HIGH,Brute-Force|Malicious|Spam
1.227.228.131,6,HIGH,Brute-Force|Malicious|Spam
1.234.20.61,5,HIGH,Brute-Force|Spam
1.234.27.159,5,HIGH,Brute-Force|Spam
1.234.75.81,5,HIGH,Brute-Force|Spam
1.237.155.150,5,HIGH,Brute-Force|Malicious|Spam
1.241.64.237,5,HIGH,Brute-Force|Spam
1.244.43.163,6,HIGH,Brute-Force|Malicious|Spam
1.247.245.61,8,HIGH,Brute-Force|Malicious|Spam
1.250.67.114,5,HIGH,Brute-Force|Spam
1.250.67.190,6,HIGH,Brute-Force|Malicious|Spam
2.3.187.98,5,HIGH,Brute-Force|Malicious|Spam
2.33.204.219,5,HIGH,Brute-Force|Spam
2.37.166.156,5,HIGH,Brute-Force|Malicious|Spam
2.38.140.138,6,HIGH,Brute-Force|Malicious|Spam
2.48.131.22,5,HIGH,Brute-Force|Malicious|Spam
2.54.85.220,6,HIGH,Brute-Force|Malicious|Spam
2.55.69.224,6,HIGH,Brute-Force|Malicious|Spam
2.55.70.26,6,HIGH,Brute-Force|Malicious|Spam
2.55.70.124,6,HIGH,Brute-Force|Malicious|Spam
2.55.73.108,6,HIGH,Brute-Force|Malicious|Spam
2.55.84.240,6,HIGH,Brute-Force|Malicious|Spam
2.55.88.51,5,HIGH,Brute-Force|Spam
2.55.122.202,6,HIGH,Brute-Force|Malicious|Spam
2.55.125.200,7,HIGH,Brute-Force|Malicious|Spam
2.55.126.88,6,HIGH,Brute-Force|Malicious|Spam
2.59.162.146,7,HIGH,Brute-Force|Malicious|Spam
2.85.72.89,6,HIGH,Brute-Force|Malicious|Spam
2.133.4.22,6,HIGH,Brute-Force|Malicious|Spam
2.134.13.50,6,HIGH,Brute-Force|Malicious|Spam
2.197.114.21,5,HIGH,Brute-Force|Spam
2.202.147.34,6,HIGH,Brute-Force|Malicious|Spam
2.204.188.254,3,MEDIUM,Brute-Force|Spam
2.206.189.74,6,HIGH,Brute-Force|Malicious|Spam
2.208.68.141,5,HIGH,Brute-Force|Malicious|Spam
2.208.226.68,3,MEDIUM,Brute-Force|Spam
2.210.253.54,5,HIGH,Brute-Force|Malicious|Spam
2.211.43.222,3,MEDIUM,Brute-Force|Spam
2.215.12.40,5,HIGH,Brute-Force|Malicious|Spam
2.215.87.25,6,HIGH,Brute-Force|Malicious|Spam
2.215.92.194,5,HIGH,Brute-Force|Malicious|Spam
2.243.156.40,6,HIGH,Brute-Force|Malicious|Spam
3.14.82.245,6,HIGH,Brute-Force|Malicious|Spam
3.42.1.0,6,HIGH,Brute-Force|Malicious|Spam
3.101.230.205,5,HIGH,Brute-Force|Spam
3.132.26.232,8,HIGH,Brute-Force|Malicious|Spam
4.16.155.226,6,HIGH,Brute-Force|Malicious|Spam
4.154.190.17,5,HIGH,Brute-Force|Spam
4.154.236.9,4,HIGH,Brute-Force|Spam
5.2.166.198,6,HIGH,Brute-Force|Malicious|Spam
5.11.140.219,6,HIGH,Brute-Force|Malicious|Spam
5.11.141.74,5,HIGH,Brute-Force|Spam
